"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
-52.7627,-52.1533,,351,,438,452,-61.745,,2,0.5,
-52.7627,-52.1533,,352,,439,453,-61.745,,1,0.5,
-52.7627,-52.1533,,353,,441,454,-61.745,,2,0.5,
-52.7627,-52.2813,,354,,442,456,-61.745,,1,0.5,
-52.7627,-50.802,,355,,443,457,-61.745,,2,0.5,
-52.7627,-51.401,,356,,444,458,-61.745,,2,0.5,
-52.7627,-51.401,,357,,446,459,-61.745,,1,0.5,
-52.7627,-51.401,,358,,447,461,-61.745,,1,0.5,
-52.7627,-51.401,,359,,448,462,-61.745,,2,0.5,
-52.7627,-52.881,,360,,449,463,-61.745,,2,0.5,
-52.7627,-53.8777,,361,,451,464,-61.745,,2,0.5,
-52.7627,-55.6029,,362,,452,466,-61.745,,1,0.5,
-52.7627,-53.8777,,363,,453,467,-61.745,,2,0.5,
-52.7627,-53.8777,,364,,454,468,-61.745,,2,0.5,
-52.7627,-55.445,,365,,456,469,-61.745,,2,0.5,
-52.7627,-61.745,,366,,457,471,-61.745,,1,0.5,
-52.7627,-60.3176,,367,,458,472,-61.745,,2,0.5,
-52.7627,-60.3176,,368,,459,473,-61.745,,1,0.5,
-52.7627,-60.3176,,369,,461,474,-61.745,,1,0.5,
-52.7627,-53.7505,,370,,462,476,-61.745,,2,0.5,
-52.7627,-53.7505,,371,,463,477,-61.745,,1,0.5,
-52.7627,-53.7505,,372,,464,478,-61.745,,1,0.5,
-52.7627,-52.2813,,373,,466,479,-61.745,,2,0.5,
-52.7627,-52.2813,,374,,467,481,-61.745,,1,0.5,
-52.7627,-51.401,,375,,468,482,-61.745,,2,0.5,
-52.7627,-52.881,,376,,469,483,-61.745,,1,0.5,
-52.7627,-52.324,,377,,471,484,-61.745,,2,0.5,
-52.7627,-51.401,,378,,472,486,-61.745,,2,0.5,
-52.7627,-57.9681,,379,,473,487,-61.745,,2,0.5,
-52.7627,-60.7223,,380,,474,488,-61.745,,2,0.5,
-52.7627,-60.7223,,381,,476,489,-61.745,,1,0.5,
-52.7627,-59.7176,,382,,477,491,-61.745,,1,0.5,
-52.7627,-59.7176,,383,,478,492,-61.745,,1,0.5,
-52.7627,-60.7203,,384,,479,493,-61.745,,1,0.5,
-52.7627,-61.2151,,385,,481,494,-61.745,,1,0.5,
-52.7627,-60.7726,,386,,482,496,-61.745,,2,0.5,
-52.7627,-61.2151,,387,,483,497,-61.745,,2,0.5,
-52.7627,-61.2151,,388,,484,498,-61.745,,1,0.5,
-52.7627,-61.2151,,389,,486,499,-61.745,,1,0.5,
-52.7627,-60.7203,,390,,487,501,-61.745,,2,0.5,
-52.7627,-60.9302,,391,,488,502,-61.745,,2,0.5,
-52.7627,-60.9302,,392,,489,503,-61.745,,1,0.5,
-52.7627,-60.9302,,393,,491,504,-61.745,,2,0.5,
-52.7627,-61.2793,,394,,492,506,-61.745,,2,0.5,
-52.7627,-61.2793,,395,,493,507,-61.745,,1,0.5,
-52.7627,-61.2793,,396,,494,508,-61.745,,2,0.5,
-52.7627,-60.9302,,397,,496,509,-61.745,,2,0.5,
-52.7627,-61.5144,,398,,497,511,-61.745,,2,0.5,
-52.7627,-61.487,,399,,498,512,-61.745,,1,0.5,
-52.7627,-61.487,,400,,499,513,-61.745,,2,0.5,
-52.7627,-62.6938,,401,,501,514,-61.745,,2,0.5,
-52.7627,-63.6031,,402,,502,516,-61.745,,1,0.5,
