"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
-59.3573,-78.7675,-65,219,1095,287,-89.8076,-89.8076,
-59.3573,-80.4077,-58.5,220,1100,288,-89.8076,-89.8076,
-59.3573,-78.7675,-60.5,221,1105,289,-89.8076,-89.8076,
-59.3573,-73.98,-62.5,222,1110,291,-89.8076,-89.8076,
-59.3573,-75.7072,-58.5,223,1115,292,-89.8076,-89.8076,
-59.3573,-73.8148,-73.5,224,1120,293,-89.8076,-89.8076,
-59.3573,-73.8148,-70,225,1125,294,-89.8076,-89.8076,
-59.3573,-75.7072,-78,226,1130,296,-89.8076,-89.8076,
-59.3573,-76.3361,-78,227,1135,297,-89.8076,-89.8076,
-59.3573,-73.8148,-80.5,228,1140,298,-89.8076,-89.8076,
-59.3573,-72.1746,-78.5,229,1145,299,-89.8076,-89.8076,
-59.3573,-70.504,-73.5,230,1150,301,-89.8076,-89.8076,
-59.3573,-60.6372,-84.5,231,1155,302,-89.8076,-89.8076,
-59.3573,-60.2439,-79,232,1160,303,-89.8076,-89.8076,
-59.3573,-60.2439,-73,233,1165,304,-89.8076,-89.8076,
-59.3573,-60.471,-74.5,234,1170,306,-89.8076,-89.8076,
-59.3573,-60.471,-71,235,1175,307,-89.8076,-89.8076,
-59.3573,-60.471,-73.5,236,1180,308,-89.8076,-89.8076,
-59.3573,-61.2749,-77,237,1185,309,-89.8076,-80.4077,
-59.3573,-61.2749,-75.5,238,1190,311,-89.8076,-80.4077,
-59.3573,-61.2749,-73.5,239,1195,312,-89.8076,-80.4077,
-59.3573,-61.2749,-78.5,240,1200,313,-89.8076,-80.4077,
-59.3573,-60.9477,,241,,314,-89.8076,,
-59.3573,-61.2749,,242,,316,-89.8076,,
-59.3573,-61.2749,,243,,317,-89.8076,,
-59.3573,-61.2749,,244,,318,-89.8076,,
-59.3573,-61.2749,,245,,319,-89.8076,,
-59.3573,-61.2749,,246,,321,-89.8076,,
-59.3573,-60.9477,,247,,322,-89.8076,,
-59.3573,-60.471,,248,,323,-89.8076,,
-59.3573,-60.471,,249,,324,-89.8076,,
-59.3573,-72.1322,,250,,326,-89.8076,,
-59.3573,-72.1322,,251,,327,-89.8076,,
-59.3573,-72.836,,252,,328,-89.8076,,
-59.3573,-72.1746,,253,,329,-89.8076,,
-59.3573,-73.98,,254,,331,-89.8076,,
-59.3573,-80.4077,,255,,332,-89.8076,,
-59.3573,-81.3457,,256,,333,-89.8076,,
-59.3573,-80.4077,,257,,334,-89.8076,,
-59.3573,-78.7675,,258,,336,-89.8076,,
-59.3573,-78.7675,,259,,337,-89.8076,,
-59.3573,-77.3764,,260,,338,-89.8076,,
-59.3573,-76.4551,,261,,339,-89.8076,,
-59.3573,-75.2759,,262,,341,-89.8076,,
-59.3573,-75.2759,,263,,342,-89.8076,,
-59.3573,-74.2126,,264,,343,-89.8076,,
-59.3573,-75.0298,,265,,344,-89.8076,,
-59.3573,-74.2126,,266,,346,-89.8076,,
-89.8076,-73.6382,,267,,347,-89.8076,,
-89.8076,-73.4309,,268,,348,-89.8076,,
-89.8076,-73.4309,,269,,349,-89.8076,,
-89.8076,-73.4309,,270,,351,-89.8076,,
-89.8076,-73.6382,,271,,352,-89.8076,,
-89.8076,-72.6064,,272,,353,-89.8076,,
-89.8076,-72.6064,,273,,354,-89.8076,,
-89.8076,-65.0662,,274,,356,-89.8076,,
-89.8076,-65.8861,,275,,357,-89.8076,,
