"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
83.0112,91.3577,79,227,1135,297,83.0112,93.3534,
83.0112,91.3577,77,228,1140,298,83.0112,93.3534,
83.0112,91.3577,103.5,229,1145,299,83.0112,93.3534,
83.0112,90.275,79.5,230,1150,301,83.0112,93.3534,
83.0112,87.5995,100,231,1155,302,83.0112,93.3534,
83.0112,88.1184,92.5,232,1160,303,83.0112,93.3534,
83.0112,90.6778,97.5,233,1165,304,83.0112,93.3534,
83.0112,90.6778,68,234,1170,306,83.0112,93.3534,
83.0112,91.3538,78.5,235,1175,307,83.0112,93.3534,
83.0112,91.3538,138.5,236,1180,308,83.0112,93.3534,
83.0112,91.3538,102,237,1185,309,83.0112,93.3534,
83.0112,91.3538,63.5,238,1190,311,83.0112,93.3534,
83.0112,92.1735,161,239,1195,312,83.0112,93.3534,
83.0112,91.8036,85,240,1200,313,83.0112,93.3534,
83.0112,92.4152,,241,,314,83.0112,,
83.0112,91.8036,,242,,316,83.0112,,
83.0112,91.8036,,243,,317,83.0112,,
83.0112,92.1735,,244,,318,83.0112,,
83.0112,89.923,,245,,319,83.0112,,
83.0112,89.8405,,246,,321,83.0112,,
83.0112,88.9334,,247,,322,83.0112,,
83.0112,85.5354,,248,,323,83.0112,,
83.0112,85.5354,,249,,324,83.0112,,
83.0112,85.9053,,250,,326,83.0112,,
83.0112,87.1784,,251,,327,83.0112,,
83.0112,88.5561,,252,,328,83.0112,,
83.0112,88.5561,,253,,329,93.3534,,
83.0112,88.5678,,254,,331,93.3534,,
83.0112,92.4085,,255,,332,93.3534,,
83.0112,91.1029,,256,,333,93.3534,,
83.0112,87.0852,,257,,334,93.3534,,
83.0112,85.6773,,258,,336,93.3534,,
83.0112,84.3691,,259,,337,93.3534,,
83.0112,88.6545,,260,,338,93.3534,,
83.0112,85.6773,,261,,339,93.3534,,
83.0112,85.9053,,262,,341,93.3534,,
83.0112,84.7701,,263,,342,93.3534,,
83.0112,88.6545,,264,,343,93.3534,,
83.0112,88.9862,,265,,344,93.3534,,
83.0112,91.6617,,266,,346,93.3534,,
83.0112,93.3534,,267,,347,93.3534,,
83.0112,96.3055,,268,,348,93.3534,,
83.0112,96.3055,,269,,349,93.3534,,
83.0112,96.3055,,270,,351,93.3534,,
83.0112,94.8392,,271,,352,93.3534,,
83.0112,93.3534,,272,,353,93.3534,,
83.0112,97.3496,,273,,354,93.3534,,
83.0112,94.8565,,274,,356,93.3534,,
83.0112,93.3534,,275,,357,93.3534,,
83.0112,93.3534,,276,,358,93.3534,,
83.0112,93.3534,,277,,359,93.3534,,
83.0112,92.1131,,278,,361,93.3534,,
83.0112,92.1131,,279,,362,93.3534,,
83.0112,92.9463,,280,,363,93.3534,,
83.0112,92.9463,,281,,364,93.3534,,
83.0112,94.2378,,282,,366,93.3534,,
83.0112,95.6135,,283,,367,93.3534,,
83.0112,96.3055,,284,,368,93.3534,,
83.0112,95.6135,,285,,369,93.3534,,
83.0112,95.6135,,286,,371,93.3534,,
83.0112,95.9835,,287,,372,93.3534,,
83.0112,95.6135,,288,,373,93.3534,,
83.0112,93.9948,,289,,374,93.3534,,
83.0112,94.367,,290,,376,93.3534,,
83.0112,94.5309,,291,,377,93.3534,,
83.0112,94.5309,,292,,378,93.3534,,
83.0112,94.5309,,293,,379,93.3534,,
83.0112,95.6877,,294,,381,93.3534,,
83.0112,96.3288,,295,,382,93.3534,,
83.0112,96.3288,,296,,383,93.3534,,
83.0112,96.3288,,297,,384,93.3534,,
83.0112,96.3288,,298,,386,93.3534,,
83.0112,96.7837,,299,,387,93.3534,,
83.0112,100.8014,,300,,388,93.3534,,
83.0112,100.8014,,301,,389,93.3534,,
83.0112,99.5284,,302,,391,93.3534,,
83.0112,99.5284,,303,,392,93.3534,,
83.0112,98.1507,,304,,393,93.3534,,
83.0112,98.1507,,305,,394,93.3534,,
83.0112,98.1507,,306,,396,93.3534,,
83.0112,96.6885,,307,,397,93.3534,,
83.0112,95.158,,308,,398,93.3534,,
83.0112,94.9969,,309,,399,93.3534,,
83.0112,102.5582,,310,,401,93.3534,,
83.0112,99.8827,,311,,402,93.3534,,
83.0112,101.8378,,312,,403,93.3534,,
83.0112,101.8378,,313,,404,93.3534,,
83.0112,94.0353,,314,,406,93.3534,,
93.3534,94.0353,,315,,407,93.3534,,
93.3534,91.5552,,316,,408,93.3534,,
93.3534,89.3357,,317,,409,93.3534,,
93.3534,87.0852,,318,,411,93.3534,,
93.3534,78.9259,,319,,412,93.3534,,
93.3534,80.5703,,320,,413,93.3534,,
93.3534,82.3096,,321,,414,93.3534,,
93.3534,82.4569,,322,,416,93.3534,,
93.3534,81.4433,,323,,417,93.3534,,
93.3534,80.9656,,324,,418,93.3534,,
93.3534,82.506,,325,,419,93.3534,,
93.3534,83.8785,,326,,421,93.3534,,
93.3534,70.6466,,327,,422,93.3534,,
93.3534,70.815,,328,,423,93.3534,,
93.3534,71.0197,,329,,424,93.3534,,
93.3534,71.0197,,330,,426,93.3534,,
93.3534,71.2504,,331,,427,93.3534,,
93.3534,70.925,,332,,428,93.3534,,
93.3534,70.925,,333,,429,93.3534,,
93.3534,70.5925,,334,,431,93.3534,,
93.3534,70.7088,,335,,432,93.3534,,
93.3534,70.7088,,336,,433,93.3534,,
93.3534,71.1195,,337,,434,116.5139,,
93.3534,71.7619,,338,,436,116.5139,,
93.3534,94.3694,,339,,437,116.5139,,
93.3534,94.3694,,340,,438,116.5139,,
93.3534,95.2206,,341,,439,116.5139,,
93.3534,96.4067,,342,,441,116.5139,,
93.3534,74.4452,,343,,442,116.5139,,
93.3534,74.4452,,344,,443,116.5139,,
93.3534,74.4452,,345,,444,116.5139,,
93.3534,74.4452,,346,,446,116.5139,,
93.3534,76.1122,,347,,447,116.5139,,
93.3534,78.379,,348,,448,116.5139,,
93.3534,76.1122,,349,,449,116.5139,,
93.3534,76.1122,,350,,451,116.5139,,
93.3534,74.4452,,351,,452,116.5139,,
93.3534,73.2058,,352,,453,116.5139,,
93.3534,73.2058,,353,,454,116.5139,,
93.3534,73.2058,,354,,456,116.5139,,
93.3534,72.2949,,355,,457,116.5139,,
93.3534,72.2949,,356,,458,116.5139,,
93.3534,72.2949,,357,,459,116.5139,,
93.3534,72.2949,,358,,461,116.5139,,
93.3534,71.6525,,359,,462,116.5139,,
93.3534,93.7948,,360,,463,116.5139,,
93.3534,93.7948,,361,,464,116.5139,,
93.3534,93.4623,,362,,466,116.5139,,
93.3534,70.5084,,363,,467,116.5139,,
93.3534,70.4836,,364,,468,116.5139,,
93.3534,70.5925,,365,,469,116.5139,,
93.3534,70.5925,,366,,471,116.5139,,
93.3534,92.0743,,367,,472,116.5139,,
93.3534,90.0893,,368,,473,116.5139,,
93.3534,90.0893,,369,,474,116.5139,,
93.3534,89.685,,370,,476,116.5139,,
93.3534,89.685,,371,,477,116.5139,,
93.3534,90.0893,,372,,478,116.5139,,
93.3534,89.685,,373,,479,116.5139,,
93.3534,89.685,,374,,481,116.5139,,
93.3534,89.685,,375,,482,116.5139,,
93.3534,89.685,,376,,483,116.5139,,
93.3534,89.685,,377,,484,116.5139,,
93.3534,89.685,,378,,486,116.5139,,
93.3534,89.685,,379,,487,116.5139,,
93.3534,89.685,,380,,488,116.5139,,
93.3534,89.685,,381,,489,116.5139,,
93.3534,87.4729,,382,,491,116.5139,,
93.3534,85.5354,,383,,492,116.5139,,
93.3534,85.5354,,384,,493,116.5139,,
93.3534,85.6985,,385,,494,116.5139,,
93.3534,90.7233,,386,,496,116.5139,,
93.3534,89.5531,,387,,497,116.5139,,
